cnpj_cpf_cliente,referencia,referencia_busca_cliente,data_primeiro_vencimento,dia_vencimento,descricao,numero,codigo_vendedor,data_vigencia_inicial,data_vigencia_final,situacao,recorrencia,tipo_faturamento,indice_reajuste,codigo_banco_conta,codigo_forma_pagamento,codigo_plano_contas,codigo_condicao_pagamento,observacao_fiscal,observacao_nao_fiscal,data_proximo_reajuste,servicos.referencia,servicos.quantidade,servicos.valor_unitario,servicos.complemento,tipo_desconto_boleto_ate_vencimento,valor_desconto_boleto_ate_vencimento,id_importacao_pessoa,Mensagem,Id
,248,1,02/06/2025,2,,455,30,02/05/2024,,,1,1,0,2,5,133,0,,,,95,1,"0,01",,0,0,7256,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,248,1,02/06/2025,2,,455,30,02/05/2024,,,1,1,0,2,5,133,0,,,05/05/2026,95,1,"54,25",,0,0,7256,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,248,1,02/06/2025,2,,455,30,02/05/2024,01/05/2024,,1,1,0,2,5,133,0,,,,116,1,115,,0,0,7256,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,334,1,05/06/2025,5,,544,10,01/07/2019,,,1,0,0,3,5,7,0,,,01/08/2025,4,1,"641,47",,0,0,6889,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,334,1,05/06/2025,5,,544,10,01/12/2023,,,1,0,0,3,5,7,0,,,03/12/2025,95,2,"50,53",,0,0,6889,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,334,1,05/06/2025,5,,544,10,01/12/2023,,,1,0,0,3,5,7,0,,,03/12/2025,117,2,"50,53",,0,0,6889,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,379,1,10/06/2025,10,,590,16,01/07/2019,,,1,0,0,3,5,7,0,,,02/07/2025,4,2,"183,17",,0,0,6064,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,380,1,10/06/2025,10,Contrato Suspenso,591,26,01/07/2019,,,1,1,0,2,5,133,0,,,07/07/2023,4,1,"275,41",,0,0,7503,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,476,1,15/06/2025,15,,689,22,01/07/2019,,,1,0,0,3,5,7,0,,,02/07/2025,4,20,"88,03",,0,0,7398,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,476,1,30/06/2025,30,,689,22,30/10/2021,30/10/2021,,1,0,0,3,5,7,0,,,,118,1,200,,0,0,7398,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,476,1,15/06/2025,15,,689,22,30/11/2021,,,1,0,0,3,5,7,0,,,04/11/2025,118,4,"215,65",,0,0,7398,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
,476,1,20/06/2025,20,,689,22,20/12/2021,20/01/2022,,1,0,0,3,5,7,0,,,,55,1,4000,,0,0,7398,Já existe um contrato com essa referência! Utilize o endpoint de atualização para editar o contrato.,N/A
